song_name,song_artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Dogs Eating Dogs,blink-182,5uqOdeWBd2gFKUAJPoy1q6,0.5,0.985,-3.684,0.0532,0.000605,4.31e-05,0.292,0.429,93.566,210520
Voyeur,blink-182,0ajjflpgTI6XpkUOhfMZ7c,0.493,0.947,-5.209,0.0564,0.000376,0.00198,0.401,0.926,119.511,163827
Apple Shampoo,blink-182,46MoFdSoufjnzJ2NWuhRA0,0.356,0.851,-6.084,0.0941,0.000641,0.0,0.284,0.644,98.796,172000
Josie,blink-182,5IKqS0Kmme9uVOVjulysEV,0.425,0.978,-5.154,0.109,5.44e-05,0.000267,0.124,0.583,99.867,199973
Degenerate,blink-182,0sPpEGQgUowUwG9WcZeTHv,0.547,0.846,-7.638,0.0493,0.00847,0.0147,0.158,0.766,127.222,148307
Dammit,blink-182,6HvUYS1xDfTCGWoeVrv3XS,0.429,0.974,-5.136,0.0899,0.00168,0.0,0.164,0.33,110.373,165373
Untitled,blink-182,6YZa6twZwNSkLnS7BL45rJ,0.441,0.886,-6.515,0.252,0.0182,3.76e-06,0.623,0.41,128.532,166733
Enthused,blink-182,27EzTwT5UQrFVAc98u3f1R,0.329,0.992,-6.091,0.107,9.28e-06,0.00594,0.233,0.417,100.524,168173
Dumpweed,blink-182,5SlKhaPcdIfSjpoM2QtM4C,0.451,0.937,-5.524,0.0952,0.00244,0.000112,0.148,0.591,100.601,143893
What's My Age Again?,blink-182,4LJhJ6DQS7NwE7UKtvcM52,0.391,0.951,-7.419,0.0692,0.0126,0.000378,0.0878,0.468,157.66,148360
Dysentery Gary,blink-182,0nGBoXoR5o9srQlP0BAZ1Y,0.314,0.894,-5.712,0.0455,0.000753,0.0,0.308,0.687,111.439,165373
Anthem,blink-182,0k4jXQdPD1NkxQutE3IB1C,0.249,0.911,-5.119,0.15,0.0011,1.36e-06,0.0993,0.633,100.739,217333
Aliens Exist,blink-182,3nqm3DdVskqbHhmb8S8hMd,0.47,0.915,-6.787,0.1,0.000954,7.58e-06,0.35,0.69,107.569,193000
Going Away To College,blink-182,4TofVhKSYwFXRtbYo5M3h4,0.532,0.753,-6.481,0.0322,0.0105,0.0,0.389,0.575,104.522,179333
Wendy Clear,blink-182,0GvaNolz2vhHikR26yRLmv,0.4,0.937,-3.892,0.0337,0.00029,0.0,0.0742,0.825,114.233,170400
Don't Leave Me,blink-182,1IAeSajljaXAkLZKXBZnE8,0.343,0.94,-7.094,0.0907,0.00862,4.6e-06,0.304,0.243,145.513,143573
Adam's Song,blink-182,6xpDh0dXrkVp0Po1qrHUd8,0.52,0.775,-5.803,0.0348,0.034,0.0,0.364,0.382,136.028,249627
Mutt,blink-182,3Q0yxw9mdycjnuORDvY5E6,0.574,0.929,-3.992,0.0468,0.0109,3.45e-06,0.353,0.764,105.709,203440
All The Small Things,blink-182,2m1hi0nfMR9vdGC8UcrnwU,0.434,0.897,-4.918,0.0488,0.0103,0.0,0.612,0.684,148.726,167067
The Party Song,blink-182,3AOWD3Tiswm4tIvg3aQVKu,0.343,0.939,-4.102,0.112,0.0958,0.0,0.381,0.903,116.469,138027
Man Overboard,blink-182,1PRknVhZ6BsVX61MPrrVsV,0.218,0.921,-4.414,0.0602,0.00133,7.66e-06,0.0777,0.612,196.291,166733
Up All Night,blink-182,1bvbL0HbprbpwmzwaZczr2,0.479,0.892,-5.167,0.0561,0.000295,6.31e-05,0.067,0.416,156.086,199707
Even If She Falls,blink-182,1ZwFmhnj8GABP4P00lcvj9,0.453,0.924,-3.607,0.0372,0.000154,0.0217,0.268,0.391,159.94,179880
Wishing Well,blink-182,4M4taWkQGn3FcbH6tnH6mx,0.565,0.947,-4.941,0.0479,0.000348,0.0,0.399,0.587,100.002,200360
This Is Home,blink-182,3SMHffilSruwo0LKuceAbP,0.437,0.962,-4.706,0.0622,0.000231,5.12e-06,0.222,0.787,162.983,166800
Love Is Dangerous,blink-182,7E2S4qBK9toF2Fw24h9ZHf,0.565,0.868,-6.611,0.0305,0.00083,0.00989,0.184,0.345,118.032,265813
Ghost On The Dance Floor,blink-182,0LC3SKxY9PteyLLxhfFY5d,0.531,0.969,-3.967,0.0574,2.44e-05,0.0263,0.0912,0.545,103.507,257520
Heart's All Gone,blink-182,4jNa0b3UvRtMtFRDuBW3Fe,0.495,0.989,-2.667,0.0605,0.000894,4.04e-06,0.114,0.349,159.995,194773
Natives,blink-182,27uKUtjrnjx1vCKFqSDe6B,0.531,0.982,-2.638,0.068,0.000698,0.00511,0.0739,0.591,140.0,235147
After Midnight,blink-182,29bWDkf8qtCmsvDWOW55CJ,0.541,0.889,-3.997,0.049,0.00642,1.71e-05,0.02,0.902,167.995,206867
Remember To Forget Me,blink-182,30zjD8uAoLLckluGf0PNV6,0.611,0.639,-7.044,0.0294,0.0176,2.92e-06,0.0987,0.257,140.052,209813
Happy Days,blink-182,6GHAAp25FcGdaHgAn8rTif,0.539,0.857,-4.489,0.0562,0.00279,0.0,0.124,0.605,154.971,179000
Ray,Millencolin,2WbxknLnzzrg2C1l3tivqc,0.308,0.978,-2.617,0.134,0.000363,0.0,0.349,0.349,196.503,176453
Torn,Neck Deep,55SMBnlZaMebqCYUkFU2dT,0.553,0.891,-7.215,0.0621,0.00231,0.0357,0.267,0.448,96.053,244480
Bouncing Off the Walls,Sugarcult,4w0JGChxHXAjwFUkzWJvBd,0.48,0.92,-3.278,0.0477,0.00088,0.0,0.248,0.752,151.011,137160
Andy Warhol,Strung Out,3HUynW6OxLAxq4FYP9Dlxw,0.492,0.972,-6.368,0.07,7.54e-05,0.00941,0.254,0.453,105.022,202093
Your Guardian Angel,The Red Jumpsuit Apparatus,2Guz1b911CbpG8L92cnglI,0.29,0.48,-6.583,0.0296,0.116,3.03e-06,0.626,0.382,112.62,229235
Kaleidoscope,blink-182,4mdeihtd7nOaJvp7XR370q,0.603,0.816,-7.167,0.0459,0.000996,3.97e-06,0.0696,0.38,91.534,232560
No Heart To Speak Of,blink-182,6gc4LhCNFbbs6wQDgafu7b,0.537,0.783,-5.409,0.0529,0.000109,6.86e-06,0.35,0.369,160.032,220293
